 Year ,Company Name,Country,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed
2019,TARGET CORP,UNITED STATES OF AMERICA,General Merchandise Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.19,"-891,310,013","-871,092,411","-209,826","-11,591,937","-2,716,597","-37,446","-60,727","-5,632,720","31,650",4%
2018,TARGET CORP,UNITED STATES OF AMERICA,General Merchandise Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.21,"-895,524,319","-863,797,175","-207,783","-11,494,676","-2,693,833","-37,100","-58,584","-17,265,701","30,534",4%
2017,TARGET CORP,UNITED STATES OF AMERICA,General Merchandise Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.21,"-902,901,966","-873,006,040","-209,416","-11,616,853","-2,722,526","-37,430","-55,881","-15,282,944","29,125",4%
2016,TARGET CORP,UNITED STATES OF AMERICA,General Merchandise Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.18,"-880,636,070","-859,858,174","-206,085","-11,441,786","-2,681,516","-36,847","-54,028","-6,385,793","28,159",4%
2015,TARGET CORP,UNITED STATES OF AMERICA,General Merchandise Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.02,-0.24,"-1,196,371,459","-1,168,824,647","-277,077","-15,551,147","-3,644,910","-49,744","-55,944","-7,997,148","29,158",3%
2014,TARGET CORP,UNITED STATES OF AMERICA,General Merchandise Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.22,"-989,465,881","-951,046,257","-226,257","-12,654,126","-2,965,817","-40,566","-50,130","-22,508,855","26,127",3%
2013,TARGET CORP,UNITED STATES OF AMERICA,General Merchandise Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.24,"-937,264,516","-907,682,688","-215,931","-12,077,147","-2,830,588","-38,715","-47,786","-14,396,566","24,906",3%
2012,TARGET CORP,UNITED STATES OF AMERICA,General Merchandise Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.18,"-947,162,701","-926,582,479","-219,976","-12,328,333","-2,889,506","-39,471","-46,201","-5,080,815","24,080",3%
2011,TARGET CORP,UNITED STATES OF AMERICA,General Merchandise Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.18,"-961,009,750","-940,124,153","-224,196","-12,509,141","-2,931,780","-40,160","-52,625","-5,155,122","27,428",4%
2010,TARGET CORP,UNITED STATES OF AMERICA,General Merchandise Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.03,-0.41,"-2,173,708,857","-779,812,030","-185,305","-10,375,637","-2,431,817","-33,238","-39,876","-1,380,851,737","20,783",1%
2016,TAUBMAN CENTERS INC,UNITED STATES OF AMERICA,Retail REITs,"Financial intermediation, except insurance and pension funding (65)",-0.10,-0.65,"-63,578,331","-45,297,306","-10,442","-602,394","-141,216","-1,895",-527,"-17,524,798",246,1%
2019,TERADATA CORP,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),0.00,-0.45,"-4,519,324","-4,420,612","-1,311","-58,486","-13,518",-218,"-2,357","-23,762",939,21%
2018,TERADATA CORP,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),0.00,-0.12,"-4,973,983","-4,865,313","-1,454","-64,358","-14,867",-241,"-2,686","-26,134","1,070",22%
2017,TERADATA CORP,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),0.00,-0.08,"-5,197,970","-5,084,445","-1,503","-67,273","-15,552",-250,"-2,676","-27,338","1,066",21%
2016,TERADATA CORP,UNITED STATES OF AMERICA,Systems Software,Computer and related activities (72),0.00,-0.02,"-5,755,191","-5,629,520","-1,654","-74,496","-17,228",-276,"-2,882","-30,285","1,148",20%
2015,TERADATA CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,0.00,-0.02,"-5,941,200","-5,811,422","-1,727","-76,883","-17,767",-287,"-3,129","-31,232","1,247",21%
2014,TERADATA CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,0.00,-0.01,"-5,624,354","-5,501,450","-1,655","-72,761","-16,802",-274,"-3,122","-29,534","1,244",22%
2013,TERADATA CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,0.00,-0.01,"-6,200,436","-6,065,131","-1,743","-80,300","-18,596",-293,"-2,800","-32,690","1,116",19%
2012,TERADATA CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,0.00,-0.01,"-6,027,610","-5,896,025","-1,717","-78,038","-18,057",-287,"-2,899","-31,743","1,155",20%
2011,TERADATA CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,0.00,-0.01,"-5,558,769","-5,437,341","-1,617","-71,932","-16,622",-268,"-2,941","-29,219","1,172",21%
2010,TERADATA CORP,UNITED STATES OF AMERICA,Systems Software, Computer and related activities (72) ,0.00,-0.01,"-5,425,111","-5,306,786","-1,499","-70,287","-16,294",-253,"-2,243","-28,644",894,18%
2019,TETRA TECH INC,UNITED STATES OF AMERICA,Environmental & Facilities Services,Real estate activities (70),0.00,-0.05,"-10,597,788","-10,376,992","-2,577","-131,454","-30,698",-446,"-2,090","-53,970",439,17%
2018,TETRA TECH INC,UNITED STATES OF AMERICA,Environmental & Facilities Services,Real estate activities (70),0.00,-0.05,"-9,808,007","-9,603,625","-2,384","-121,686","-28,418",-413,"-1,925","-49,961",405,17%
2017,TETRA TECH INC,UNITED STATES OF AMERICA,Environmental & Facilities Services,Real estate activities (70),-0.01,-0.07,"-13,001,157","-12,726,882","-3,084","-163,682","-38,272",-542,"-1,779","-67,290",374,12%
2019,TEXAS INSTRUMENTS INC,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.05,-0.13,"-754,507,893","-635,468,776","-144,972","-8,333,388","-1,952,442","-26,212","-2,322,563","-106,255,515","-4,024",2%
2018,TEXAS INSTRUMENTS INC,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.05,-0.11,"-737,146,968","-692,702,999","-164,483","-9,127,099","-2,131,320","-29,351","-2,548,796","-30,460,121","17,202",6%
2017,TEXAS INSTRUMENTS INC,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.05,-0.13,"-779,914,475","-739,493,827","-174,867","-9,753,866","-2,278,707","-31,271","-2,415,899","-25,782,343","16,305",6%
2016,TEXAS INSTRUMENTS INC,UNITED STATES OF AMERICA,Semiconductors,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.06,-0.17,"-790,763,105","-750,479,490","-171,430","-9,872,082","-2,313,181","-31,031","-2,158,984","-25,733,600","-3,307",2%
2015,TEXAS INSTRUMENTS INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.06,-0.19,"-789,012,224","-753,756,298","-172,231","-9,920,326","-2,324,417","-31,181","-2,076,608","-20,728,144","-3,019",2%
2014,TEXAS INSTRUMENTS INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.06,-0.20,"-770,707,061","-735,416,387","-172,745","-9,716,417","-2,271,594","-31,000","-1,916,345","-21,195,506","12,933",5%
2013,TEXAS INSTRUMENTS INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.06,-0.27,"-703,317,708","-713,684,102","-167,140","-9,436,334","-2,206,818","-30,041","-1,649,942","23,845,534","11,135",4%
2012,TEXAS INSTRUMENTS INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.06,-0.30,"-799,993,030","-755,061,086","-172,816","-9,954,128","-2,332,500","-31,295","-1,772,154","-30,667,314","-1,737",2%
2011,TEXAS INSTRUMENTS INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.06,-0.23,"-797,767,416","-723,174,411","-165,377","-9,510,008","-2,228,395","-29,918","-2,147,221","-60,509,370","-2,716",2%
2010,TEXAS INSTRUMENTS INC,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.05,-0.15,"-672,912,294","-615,496,786","-140,612","-8,077,119","-1,892,487","-25,419","-2,150,978","-45,125,729","-3,164",3%
2017,THERMO FISHER SCIENTIFIC INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services,Research and development (73),-0.01,-0.05,"-168,072,915","-164,677,704","-36,944","-2,032,929","-466,363","-6,560","-27,590","-819,915","-4,910",20%
2016,THERMO FISHER SCIENTIFIC INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services,Research and development (73),-0.01,-0.05,"-140,975,368","-138,136,269","-30,964","-1,699,810","-389,560","-5,493","-24,103","-684,881","-4,289",21%
2015,THERMO FISHER SCIENTIFIC INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.06,"-137,998,381","-135,206,899","-30,343","-1,671,499","-383,617","-5,391","-22,234","-674,441","-3,957",20%
2013,THERMO FISHER SCIENTIFIC INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.07,"-118,727,279","-116,283,163","-26,217","-1,464,184","-337,905","-4,686","-14,449","-594,104","-2,571",15%
2012,THERMO FISHER SCIENTIFIC INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.08,"-124,482,997","-120,808,058","-27,257","-1,525,519","-352,360","-4,877","-14,246","-1,748,144","-2,535",14%
2011,THERMO FISHER SCIENTIFIC INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.09,"-128,657,793","-126,006,272","-28,418","-1,588,480","-366,718","-5,081","-15,330","-644,766","-2,728",15%
2019,TIFFANY & CO,UNITED STATES OF AMERICA,Specialty Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",0.00,-0.02,"-12,275,161","-12,006,218","-3,347","-160,058","-37,463",-567,"-3,439","-65,861","1,793",14%
2018,TIFFANY & CO,UNITED STATES OF AMERICA,Specialty Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",0.00,-0.02,"-11,874,237","-11,613,979","-3,260","-154,843","-36,240",-551,"-3,453","-63,710","1,800",15%
2017,TIFFANY & CO,UNITED STATES OF AMERICA,Specialty Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",0.00,-0.01,"-11,805,784","-11,547,177","-3,208","-153,931","-36,030",-544,"-3,242","-63,342","1,690",14%
2016,TIFFANY & CO,UNITED STATES OF AMERICA,Specialty Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",0.00,-0.02,"-14,413,062","-14,100,251","-3,194","-185,757","-43,520",-582,"-3,111","-76,527",-121,2%
2015,TIFFANY & CO,UNITED STATES OF AMERICA,Specialty Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",0.00,-0.02,"-14,905,571","-14,582,077","-3,304","-192,164","-45,022",-602,"-3,112","-79,168",-121,2%
2014,TIFFANY & CO,UNITED STATES OF AMERICA,Specialty Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",0.00,-0.02,"-13,917,554","-13,615,501","-3,085","-179,411","-42,034",-562,"-2,934","-73,914",-114,2%
2013,TIFFANY & CO,UNITED STATES OF AMERICA,Specialty Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",0.00,-0.02,"-14,872,870","-14,550,114","-3,302","-192,001","-44,988",-601,"-2,653","-79,109",-103,1%
2012,TIFFANY & CO,UNITED STATES OF AMERICA,Specialty Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",0.00,-0.02,"-12,748,870","-12,470,473","-3,270","-166,117","-38,902",-566,"-2,391","-68,397","1,246",11%
2011,TIFFANY & CO,UNITED STATES OF AMERICA,Specialty Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",0.00,-0.02,"-12,499,054","-12,225,799","-3,276","-162,902","-38,142",-563,"-2,744","-67,058","1,430",12%
2010,TIFFANY & CO,UNITED STATES OF AMERICA,Specialty Stores," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",0.00,-0.02,"-12,980,379","-12,697,404","-3,223","-169,073","-39,606",-564,"-1,826","-69,636",951,8%
2019,TJX COS INC (THE),UNITED STATES OF AMERICA,Apparel Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.05,"-222,103,623","-217,260,776","-55,356","-2,893,075","-677,685","-9,678","-32,432","-1,191,525","16,903",9%
2018,TJX COS INC (THE),UNITED STATES OF AMERICA,Apparel Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.05,"-230,572,146","-225,547,286","-56,878","-3,003,047","-703,507","-9,981","-30,299","-1,236,939","15,791",8%
2017,TJX COS INC (THE),UNITED STATES OF AMERICA,Apparel Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.06,"-246,729,353","-241,355,935","-60,070","-3,213,030","-752,780","-10,592","-27,882","-1,323,595","14,532",7%
2016,TJX COS INC (THE),UNITED STATES OF AMERICA,Apparel Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.07,"-249,266,083","-243,839,276","-60,274","-3,245,827","-760,508","-10,654","-25,798","-1,337,192","13,446",6%
2015,TJX COS INC (THE),UNITED STATES OF AMERICA,Apparel Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.06,"-238,487,865","-233,296,667","-57,454","-3,105,356","-727,617","-10,170","-23,463","-1,279,366","12,228",6%
2014,TJX COS INC (THE),UNITED STATES OF AMERICA,Apparel Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.07,"-234,578,854","-229,475,097","-55,988","-3,054,157","-715,675","-9,944","-20,073","-1,258,381","10,462",5%
2013,TJX COS INC (THE),UNITED STATES OF AMERICA,Apparel Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.07,"-224,584,062","-219,698,678","-53,398","-2,923,910","-685,176","-9,498","-18,051","-1,204,759","9,408",5%
2012,TJX COS INC (THE),UNITED STATES OF AMERICA,Apparel Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.07,"-230,157,660","-225,152,747","-54,341","-2,996,256","-702,168","-9,691","-16,311","-1,234,648","8,501",4%
2011,TJX COS INC (THE),UNITED STATES OF AMERICA,Apparel Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.09,"-219,968,328","-215,183,515","-52,264","-2,863,796","-671,092","-9,298","-17,469","-1,179,998","9,104",5%
2010,TJX COS INC (THE),UNITED STATES OF AMERICA,Apparel Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.10,"-222,318,996","-217,486,710","-52,007","-2,893,933","-678,239","-9,306","-12,984","-1,192,585","6,767",4%
2019,TRACTOR SUPPLY CO,UNITED STATES OF AMERICA,Specialty Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.11,"-82,714,742","-78,862,488","-19,170","-1,049,561","-245,949","-3,410","-6,493","-2,531,056","3,384",5%
2018,TRACTOR SUPPLY CO,UNITED STATES OF AMERICA,Specialty Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.12,"-80,728,824","-78,972,992","-19,135","-1,050,993","-246,291","-3,407","-6,150","-433,060","3,205",5%
2017,TRACTOR SUPPLY CO,UNITED STATES OF AMERICA,Specialty Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.11,"-77,142,203","-75,464,564","-18,244","-1,004,276","-235,347","-3,251","-5,641","-413,819","2,940",5%
2016,TRACTOR SUPPLY CO,UNITED STATES OF AMERICA,Specialty Stores,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.13,"-87,877,645","-85,967,443","-20,581","-1,143,920","-268,093","-3,681","-5,271","-471,402","2,747",4%
2019,TRAVEL PLUS LEISURE CO,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines",Other service activities (93),-0.02,-0.08,"-69,707,471","-57,752,739","-13,585","-765,432","-178,141","-2,440","-3,888","-10,992,440","1,194",5%
2018,TRAVEL PLUS LEISURE CO,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines",Other service activities (93),-0.02,-0.11,"-84,282,039","-60,962,092","-14,308","-808,189","-188,201","-2,572","-3,781","-22,304,056","1,161",4%
2016,TRAVEL PLUS LEISURE CO,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines",Other service activities (93),-0.03,-0.16,"-167,079,518","-133,960,183","-31,158","-1,777,941","-415,016","-5,626","-5,385","-30,885,863","1,653",3%
2015,TRAVEL PLUS LEISURE CO,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.03,-0.16,"-163,187,811","-139,756,100","-32,469","-1,855,122","-433,158","-5,866","-5,243","-21,101,464","1,610",3%
2014,TRAVEL PLUS LEISURE CO,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.03,-0.19,"-182,622,108","-126,217,689","-29,308","-1,675,524","-391,278","-5,296","-4,573","-54,299,844","1,404",2%
2013,TRAVEL PLUS LEISURE CO,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.03,-0.17,"-157,850,824","-132,279,133","-30,631","-1,756,588","-410,505","-5,542","-3,916","-23,365,711","1,202",2%
2012,TRAVEL PLUS LEISURE CO,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.03,-0.15,"-127,104,528","-114,850,088","-26,620","-1,524,960","-356,285","-4,814","-3,666","-10,339,221","1,125",2%
2011,TRAVEL PLUS LEISURE CO,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.03,-0.15,"-128,897,762","-117,010,025","-27,139","-1,553,513","-362,894","-4,906","-3,918","-9,936,570","1,203",3%
2010,TRAVEL PLUS LEISURE CO,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,-0.03,-0.17,"-125,357,521","-122,642,675","-28,374","-1,628,797","-380,728","-5,136","-3,375","-669,472","1,036",2%
2019,TRINSEO PLC,UNITED STATES OF AMERICA,Commodity Chemicals,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",-0.09,-6.75,"-320,845,998","-309,572,376","-70,508","-3,923,191","-910,673","-12,461","-2,375,196","-3,973,218","-8,375",10%
2018,TRINSEO PLC,UNITED STATES OF AMERICA,Commodity Chemicals,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",-0.08,-1.32,"-369,542,802","-350,452,291","-80,509","-4,396,724","-1,030,581","-14,130","-2,908,008","-10,650,297","-10,261",10%
2017,TRINSEO PLC,UNITED STATES OF AMERICA,Commodity Chemicals,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",-0.09,-0.94,"-388,067,934","-370,661,292","-85,204","-4,676,018","-1,095,995","-14,999","-2,798,112","-8,726,728","-9,585",9%
2016,TRINSEO PLC,UNITED STATES OF AMERICA,Commodity Chemicals,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",-0.10,-1.11,"-383,671,893","-364,586,384","-85,403","-4,643,664","-1,088,343","-15,014","-2,337,981","-10,912,303","-2,801",10%
2015,TRINSEO PLC,UNITED STATES OF AMERICA,Commodity Chemicals," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-0.09,-1.37,"-357,564,184","-337,022,884","-79,194","-4,267,531","-1,000,152","-13,859","-2,446,512","-12,731,120","-2,931",12%
2013,TRINSEO PLC,UNITED STATES OF AMERICA,Commodity Chemicals," Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c. ",-0.07,-2.46,"-347,116,611","-326,445,136","-76,216","-4,184,452","-981,000","-13,466","-1,783,993","-13,630,211","-2,138",9%
2019,TRONOX HOLDINGS PLC,UNITED STATES OF AMERICA,Commodity Chemicals,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",-0.80,-15.56,"-2,115,516,601","-1,277,224,961","-293,117","-16,855,889","-3,945,365","-53,010","-1,661,971","-815,480,298","-1,991",2%
2019,TYSON FOODS INC  -CL A,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.05,-0.73,"-2,117,410,510","-1,698,825,445","-414,426","-22,719,837","-5,286,715","-73,560","-162,136","-390,009,052","80,661",5%
2018,TYSON FOODS INC  -CL A,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.06,-0.74,"-2,273,912,503","-1,857,372,686","-449,220","-24,821,350","-5,781,660","-79,998","-152,987","-385,330,712","76,110",4%
2017,TYSON FOODS INC  -CL A,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.05,-0.65,"-2,036,451,448","-1,659,335,261","-402,916","-22,182,579","-5,164,571","-71,643","-146,632","-349,220,794","72,948",5%
2016,TYSON FOODS INC  -CL A,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.06,-0.78,"-2,146,523,066","-1,721,302,697","-416,132","-23,002,082","-5,358,171","-74,117","-140,659","-396,299,185","69,977",4%
2015,TYSON FOODS INC  -CL A,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.06,-1.09,"-2,339,648,645","-1,929,831,839","-466,405","-25,788,020","-6,007,348","-83,081","-156,831","-377,393,143","78,022",4%
2014,TYSON FOODS INC  -CL A,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.06,-1.58,"-2,351,996,331","-1,956,615,646","-468,434","-26,124,323","-6,092,495","-83,745","-131,215","-362,545,751","65,278",4%
2013,TYSON FOODS INC  -CL A,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.07,-1.61,"-2,271,535,491","-1,966,329,168","-467,302","-26,237,205","-6,124,121","-83,780","-110,239","-272,238,519","54,843",3%
2012,TYSON FOODS INC  -CL A,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.06,-1.64,"-2,007,037,715","-1,751,353,184","-418,152","-23,378,159","-5,453,805","-74,834","-110,318","-226,304,145","54,883",4%
2011,TYSON FOODS INC  -CL A,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.06,-1.45,"-1,795,455,915","-1,554,108,114","-374,445","-20,761,674","-4,838,223","-66,779","-119,076","-215,246,844","59,239",4%
2010,TYSON FOODS INC  -CL A,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.07,-1.20,"-1,903,830,638","-1,697,537,755","-404,546","-22,656,115","-5,286,523","-72,451","-102,193","-177,821,895","50,840",4%
2012,UNISYS CORP,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.13,"-41,215,757","-40,320,607","-9,733","-535,726","-125,268","-1,736","-4,032","-220,262","1,607",5%
2011,UNISYS CORP,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.14,"-46,792,688","-45,776,350","-11,079","-608,186","-142,193","-1,974","-4,799","-250,020","1,912",6%
2018,UNITED AIRLINES HOLDINGS INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),-0.26,-2.85,"-10,766,440,394","-10,526,933,029","-2,516,157","-138,054,760","-31,910,910","-450,673","-1,977,354","-65,056,330","458,818",6%
2017,UNITED AIRLINES HOLDINGS INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),-0.28,-2.85,"-10,460,268,596","-10,219,488,395","-2,448,011","-134,213,157","-31,047,182","-438,456","-1,806,586","-71,291,439","464,630",5%
2016,UNITED AIRLINES HOLDINGS INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),-0.28,-2.02,"-10,061,814,548","-9,832,194,457","-2,386,896","-129,221,902","-29,889,062","-425,429","-1,750,095","-66,488,458","541,752",5%
2015,UNITED AIRLINES HOLDINGS INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.27,-1.85,"-10,170,560,837","-9,941,397,303","-2,378,467","-130,537,366","-30,191,892","-426,281","-1,777,114","-64,299,824","447,411",5%
2014,UNITED AIRLINES HOLDINGS INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.26,-3.58,"-10,080,898,376","-9,853,302,800","-2,359,171","-129,495,916","-29,973,281","-422,669","-1,665,980","-64,119,860","441,300",5%
2013,UNITED AIRLINES HOLDINGS INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.26,-5.67,"-10,022,489,118","-9,798,110,606","-2,363,674","-128,984,945","-29,884,770","-422,300","-1,526,577","-61,678,770","482,525",5%
2012,UNITED AIRLINES HOLDINGS INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.27,-7.49,"-10,198,651,848","-9,979,293,333","-2,415,874","-131,469,605","-30,477,582","-430,937","-1,483,022","-53,589,140","507,646",4%
2011,UNITED AIRLINES HOLDINGS INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.28,-5.78,"-10,428,221,787","-10,204,243,592","-2,470,080","-134,198,570","-31,065,767","-440,584","-1,709,723","-54,623,275","529,803",5%
2010,UNITED AIRLINES HOLDINGS INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.44,-6.25,"-10,277,202,775","-10,055,343,954","-2,453,750","-133,085,409","-30,952,996","-436,618","-1,051,450","-54,424,792","546,194",3%
2019,UNITED NATURAL FOODS INC,UNITED STATES OF AMERICA,Food Distributors,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",-0.01,-1.35,"-209,682,109","-205,121,273","-49,766","-2,729,826","-639,701","-8,858","-16,403","-1,124,802","8,520",5%
2016,UNITED NATURAL FOODS INC,UNITED STATES OF AMERICA,Food Distributors,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",-0.01,-0.23,"-52,155,711","-51,019,375","-12,799","-679,246","-159,129","-2,250","-6,497","-279,790","3,374",7%
2014,UNITED NATURAL FOODS INC,UNITED STATES OF AMERICA,Food Distributors," Wholesale trade and commission trade, except of motor vehicles and motorcycles (51) ",-0.01,-0.22,"-47,268,513","-45,922,664","-11,329","-611,272","-143,224","-2,004","-4,746","-575,739","2,465",6%
2013,UNITED NATURAL FOODS INC,UNITED STATES OF AMERICA,Food Distributors," Wholesale trade and commission trade, except of motor vehicles and motorcycles (51) ",-0.01,-0.29,"-53,778,071","-52,145,525","-12,639","-693,963","-162,623","-2,250","-4,098","-759,102","2,128",5%
2012,UNITED NATURAL FOODS INC,UNITED STATES OF AMERICA,Food Distributors," Wholesale trade and commission trade, except of motor vehicles and motorcycles (51) ",-0.01,-0.28,"-45,284,215","-44,018,989","-10,673","-585,816","-137,279","-1,900","-3,483","-527,883","1,809",5%
